randomInt;age;gender;district;modeOfTransportation;distance;G03Q13amountOfPeople;income;frequency;days[1];days[2];days[3];days[4];days[5];days[6];days[7];time[1];time[2];time[3];time[4];time[5];moneySpent;orderingItems;deliveringItems;willingPayDelivery;findProducts;usingDiscounts;preferCash;preferCashless;isRelaxing;satisGeneralStore;satisMusic;satisQualityProducts;satisGeneralAssortment;satisVeganProducts;satisOrganicProducts;satisGlutenfreeProducts;satisAnimalProducts;ideasExtendedBusiness;ideasHelpCarry;ideasCustomerCouncil;ideasFreeWifi;ideasTouchDisplay;ideasSelfCheckout;ideasBikeParking;ideasUndergroundParking
4;20-25;Male;Metrapalis;Walking;Less than few hundred meters;2;2300;More than four times;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;No;No;No;Yes;Less than 25 USD;;;;;;;;;;;;;;;;;;;;4;;10;;
1;30-35;Male;Duckborg;Walking;500 meters to 1km;1;2000;Once;No;No;No;No;Yes;Yes;No;No;No;Yes;Yes;No;Between 25 and 50 USD;…selecting them myself in the store.;…get them myself in and from the store.;;Rather agree;Strongly disagree;Strongly disagree;Strongly agree;Rather disagree;9;6;8;9;8;9;10;10;1;1;1;7;3;1;1;1
1;;;;;;;;Once;No;No;Yes;No;No;No;No;No;No;Yes;Yes;No;Between 50 and 75;…selecting them myself in the store.;…get them myself in and from the store.;;Rather disagree;Rather agree;Strongly disagree;Strongly agree;Strongly disagree;5;2;7;7;7;6;6;3;9;1;2;8;8;1;1;1
3;20-25;Male;Duckborg;Bicycle;1-2km;1;300;Three times;Yes;No;No;Yes;No;Yes;No;Yes;No;No;Yes;No;Between 25 and 50 USD;…selecting them myself in the store.;…get them myself in and from the store.;Less than 10 USD;Rather agree;Rather agree;Strongly agree;Strongly disagree;Neutral / Undecided;8;4;8;8;5;;;7;7;1;4;7;2;8;10;3
1;40-45;Male;Godham;Walking;Less than few hundred meters;2;1000;Once;No;No;No;No;No;Yes;No;Yes;No;No;No;No;Between 50 and 75;…selecting them myself in the store.;…get them myself in and from the store.;;Strongly agree;Strongly agree;Rather disagree;Rather agree;Rather agree;8;8;9;7;7;8;9;10;4;8;1;9;10;10;10;10
3;25-30;Male;;Public transportation;500 meters to 1km;1;1400;Once;No;No;No;No;No;Yes;No;No;Yes;Yes;No;No;Between 50 and 75;…selecting them myself in the store.;…get them myself in and from the store.;I would not pay for that;Rather agree;Rather agree;Strongly disagree;Strongly agree;Strongly agree;8;10;8;9;7;7;5;6;10;1;1;7;9;10;1;1
2;35-40;Female;Springtown;Own Car;5-7km;4;4000;Twice;Yes;No;No;No;Yes;No;No;No;No;No;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;
3;20-25;Prefer not to say;Godham;Bicycle;3-5km;2;15000;Three times;Yes;No;Yes;No;Yes;No;No;No;Yes;No;No;No;Less than 25 USD;…selecting them myself in the store.;…get them myself in and from the store.;;Strongly agree;Strongly disagree;Rather disagree;Rather agree;;8;;8;8;5;6;;7;10;1;1;1;1;1;10;
2;40-45;Male;Duckborg;Own Car;1-2km;4;85000;Once;No;No;No;Yes;No;No;No;No;No;No;Yes;Yes;100 to 125 USD;… ordering online.;… get them directly delivered to my address.;10-15 USD;Rather agree;Rather disagree;Rather disagree;Rather agree;Strongly disagree;6;4;7;6;4;8;6;8;8;3;2;7;4;5;3;9
2;40-45;Prefer not to say;Duckborg;Rented car (“car sharing”);1-2km;4;80568;Twice;No;No;Yes;No;No;Yes;No;No;Yes;No;Yes;No;Between 75 and 100 USD;… ordering online.;… get them directly delivered to my address.;Less than 10 USD;Rather agree;Strongly disagree;Rather disagree;Strongly agree;Rather disagree;8;;7;7;5;7;;9;10;7;1;5;10;10;7;8
4;70-75;Male;Springtown;Walking;Less than few hundred meters;2;50000;Three times;Yes;No;Yes;No;No;Yes;No;No;Yes;No;Yes;No;Less than 25 USD;…selecting them myself in the store.;…get them myself in and from the store.;;Rather agree;Rather disagree;Neutral / Undecided;Rather agree;Rather disagree;8;;7;7;;7;;7;3;2;1;7;2;10;8;2
2;50-55;Male;Godham;Own Car;500 meters to 1km;1;70000;Twice;No;Yes;No;No;Yes;No;No;No;No;No;Yes;No;Between 75 and 100 USD;…selecting them myself in the store.;…get them myself in and from the store.;;Strongly agree;Strongly disagree;Strongly disagree;Strongly agree;Strongly disagree;8;;8;8;8;8;;8;5;1;1;1;1;1;1;8
4;35-40;Male;Springtown;Own Car;1-2km;2;2500;Once;No;No;No;No;No;Yes;No;No;No;No;Yes;Yes;100 to 125 USD;… ordering online.;… get them directly delivered to my address.;Less than 10 USD;Rather agree;Strongly agree;Strongly disagree;Strongly agree;Rather disagree;9;3;6;8;5;8;;4;9;3;1;8;5;10;7;10
3;20-25;Female;Godham;Walking;500 meters to 1km;2;5000;Once;No;No;No;Yes;Yes;Yes;No;No;No;Yes;Yes;Yes;100 to 125 USD;… ordering online.;… get them directly delivered to my address.;Less than 10 USD;Neutral / Undecided;Rather agree;Strongly disagree;Strongly agree;Rather disagree;6;1;5;7;4;7;2;5;10;1;1;4;2;8;7;7
4;70-75;Male;Springtown;Bicycle;3-5km;5 or more;88888;Twice;No;Yes;No;Yes;No;No;No;No;Yes;No;No;No;Between 25 and 50 USD;…selecting them myself in the store.;…get them myself in and from the store.;;Rather agree;Neutral / Undecided;Strongly disagree;Strongly agree;Neutral / Undecided;7;6;8;8;8;8;7;6;7;5;5;6;7;10;10;7
3;55-60;Male;;Own Car;3-5km;5 or more;3500;Twice;No;No;No;No;No;Yes;Yes;Yes;No;No;Yes;No;Less than 25 USD;…selecting them myself in the store.;…get them myself in and from the store.;;Strongly agree;Rather agree;Neutral / Undecided;Neutral / Undecided;Rather agree;8;;8;8;;;;8;9;8;8;;;8;8;
2;60-65;Male;Godham;Walking;500 meters to 1km;2;200;Once;No;No;No;No;No;Yes;No;Yes;No;No;No;No;Between 75 and 100 USD;…selecting them myself in the store.;…get them myself in and from the store.;;Strongly agree;;Strongly disagree;Strongly agree;Neutral / Undecided;9;7;9;8;8;5;6;9;8;10;10;10;10;10;10;7
4;>75;Male;Duckborg;Own Car;5-7km;2;200000;Once;No;No;No;No;Yes;No;No;No;No;No;Yes;No;Between 75 and 100 USD;…selecting them myself in the store.;…get them myself in and from the store.;;Neutral / Undecided;Strongly agree;Strongly disagree;Strongly agree;Neutral / Undecided;9;;9;9;;;;9;10;5;1;1;2;10;1;1
4;45-50;Female;;;1-2km;3;4000;Once;Yes;No;No;No;No;No;No;Yes;No;No;No;No;100 to 125 USD;… ordering online.;… get them directly delivered to my address.;Less than 10 USD;Strongly agree;Neutral / Undecided;Strongly disagree;Strongly agree;Rather disagree;8;9;9;8;;;;9;;1;1;5;7;10;;
3;35-40;Male;Godham;Walking;Less than few hundred meters;1;15000;Three times;No;Yes;No;Yes;No;Yes;No;No;No;No;Yes;Yes;Between 25 and 50 USD;…selecting them myself in the store.;…get them myself in and from the store.;I would not pay for that;Rather agree;Rather disagree;Rather disagree;Rather agree;Rather disagree;8;;9;9;;;;8;9;1;1;1;1;5;7;1
4;60-65;Female;Duckborg;Bicycle;3-5km;3;150000;Twice;No;Yes;No;Yes;No;No;No;No;Yes;No;No;No;;…selecting them myself in the store.;…get them myself in and from the store.;;Rather agree;Strongly agree;Strongly disagree;Strongly agree;Rather disagree;6;7;9;5;6;2;8;7;1;5;3;10;9;7;10;1
3;20-25;Female;Godham;Bicycle;500 meters to 1km;5 or more;50000;Once;No;No;No;No;No;Yes;No;No;No;No;Yes;No;Between 75 and 100 USD;…selecting them myself in the store.;…get them myself in and from the store.;;Rather agree;Strongly agree;Rather disagree;Rather agree;Neutral / Undecided;8;2;7;9;9;10;3;9;7;5;3;8;3;6;7;
4;65-70;Female;Duckborg;Walking;1-2km;2;50000;Twice;No;Yes;No;No;Yes;No;No;Yes;No;No;No;No;Between 25 and 50 USD;…selecting them myself in the store.;… get them directly delivered to my address.;Less than 10 USD;Rather agree;Rather agree;Rather disagree;Strongly agree;Neutral / Undecided;7;6;8;7;7;7;;7;3;3;3;3;3;10;5;
4;50-55;Male;Springtown;Own Car;3-5km;2;150000;Twice;No;No;No;No;Yes;Yes;No;Yes;No;No;No;No;100 to 125 USD;…selecting them myself in the store.;…get them myself in and from the store.;Less than 10 USD;Rather disagree;Strongly disagree;Strongly agree;Strongly disagree;Rather agree;8;8;8;8;7;6;3;4;9;3;4;1;2;3;1;7
4;35-40;Male;;;;2;;Twice;No;No;No;No;No;Yes;Yes;No;No;No;Yes;No;Between 25 and 50 USD;… ordering online.;… get them directly delivered to my address.;I would not pay for that;Neutral / Undecided;Rather agree;Rather disagree;Strongly agree;Neutral / Undecided;5;6;6;6;;;;;6;4;2;7;6;8;8;3
3;35-40;Male;Springtown;Own Car;>7km;1;;Twice;No;No;Yes;No;No;Yes;No;No;No;No;Yes;Yes;Between 50 and 75;…selecting them myself in the store.;…get them myself in and from the store.;;Rather agree;Rather disagree;Neutral / Undecided;Rather agree;Rather disagree;8;2;7;8;5;8;5;9;6;1;1;1;1;3;2;4
1;40-45;Male;Piltunder;Public transportation;500 meters to 1km;4;80000;Once;No;No;No;No;Yes;No;No;No;No;No;Yes;No;Between 75 and 100 USD;…selecting them myself in the store.;…get them myself in and from the store.;;Strongly agree;Rather agree;Strongly disagree;Strongly agree;Strongly disagree;7;1;8;8;;8;;5;6;1;8;1;1;6;9;
2;30-35;Male;Metrapalis;Bicycle;500 meters to 1km;1;1000;Twice;Yes;No;No;No;No;Yes;No;No;No;Yes;No;Yes;Between 25 and 50 USD;…selecting them myself in the store.;… get them directly delivered to my address.;I would not pay for that;Rather agree;Rather disagree;Strongly disagree;Strongly agree;Strongly disagree;4;1;6;6;6;6;;7;9;1;1;9;2;9;10;10
3;35-40;Male;Springtown;Own Car;500 meters to 1km;3;60000;Once;No;No;No;No;Yes;No;No;No;No;No;Yes;No;Between 50 and 75;…selecting them myself in the store.;…get them myself in and from the store.;;Strongly agree;Strongly agree;Strongly agree;;Strongly agree;10;10;10;10;10;10;10;10;10;8;10;10;10;10;10;10
1;20-25;Diverse;Metrapalis;Walking;Less than few hundred meters;1;;Four times;Yes;Yes;Yes;Yes;Yes;No;No;No;No;Yes;Yes;Yes;Less than 25 USD;…selecting them myself in the store.;…get them myself in and from the store.;I would not pay for that;Rather agree;Rather agree;Neutral / Undecided;Neutral / Undecided;Neutral / Undecided;7;3;8;8;4;5;;;10;1;1;10;1;10;;
3;20-25;Female;Springtown;Bicycle;1-2km;1;1000;Three times;No;Yes;No;Yes;No;No;Yes;No;No;No;Yes;Yes;Between 25 and 50 USD;… ordering online.;… get them directly delivered to my address.;Less than 10 USD;Neutral / Undecided;Rather disagree;Rather disagree;Strongly agree;Strongly disagree;7;6;9;8;4;8;;8;10;1;1;8;7;10;10;1
4;60-65;Male;Springtown;Own Car;500 meters to 1km;2;100000;Twice;Yes;No;No;Yes;No;No;No;Yes;No;No;No;No;Between 50 and 75;… ordering online.;… get them directly delivered to my address.;Less than 10 USD;Rather agree;Strongly agree;Rather disagree;Strongly agree;Strongly disagree;8;7;8;5;1;4;5;9;1;3;2;3;5;3;4;5
2;30-35;Male;Duckborg;Own Car;3-5km;4;150000;Once;No;No;No;No;Yes;No;No;No;No;No;Yes;No;More than 125 USD;… ordering online.;… get them delivered to the store for me to pick-up.;Less than 10 USD;Rather agree;Rather disagree;Strongly disagree;Strongly agree;Rather agree;8;3;7;6;8;5;;9;8;8;2;7;2;;5;7
1;30-35;Male;Duckborg;Walking;500 meters to 1km;3;6000;Three times;Yes;No;No;Yes;No;Yes;No;No;Yes;No;Yes;No;Between 25 and 50 USD;…selecting them myself in the store.;…get them myself in and from the store.;;Rather agree;Strongly disagree;Strongly disagree;Strongly agree;Strongly disagree;3;1;4;3;;;;3;2;1;1;1;1;10;10;5
2;50-55;Male;Piltunder;Own Car;1-2km;2;;Twice;No;No;No;No;Yes;Yes;No;Yes;No;No;Yes;No;Between 75 and 100 USD;…selecting them myself in the store.;…get them myself in and from the store.;I would not pay for that;Rather agree;Rather agree;Strongly disagree;Strongly agree;Strongly agree;9;9;9;8;9;9;9;9;10;1;1;10;8;10;3;8
3;20-25;Male;Godham;Walking;1-2km;2;950;Three times;Yes;No;No;Yes;No;Yes;No;No;No;No;No;Yes;Between 50 and 75;…selecting them myself in the store.;…get them myself in and from the store.;;Neutral / Undecided;Strongly agree;Strongly disagree;Strongly agree;Strongly disagree;6;2;8;7;2;1;5;7;9;1;5;10;1;10;5;1
4;>75;Prefer not to say;Duckborg;Taxi;Less than few hundred meters;5 or more;343434;Twice;Yes;No;Yes;No;Yes;No;No;Yes;No;No;No;No;Less than 25 USD;… ordering online.;… get them delivered to the store for me to pick-up.;;Rather disagree;Rather agree;Strongly disagree;Strongly agree;Rather disagree;9;8;;9;4;6;5;7;9;10;1;10;;4;1;1
2;40-45;Male;Duckborg;Own Car;5-7km;5 or more;89000;Twice;No;No;Yes;No;Yes;No;No;Yes;No;No;No;No;More than 125 USD;…selecting them myself in the store.;…get them myself in and from the store.;I would not pay for that;Strongly agree;Rather agree;Rather agree;Rather agree;Rather disagree;7;7;9;8;10;10;10;10;3;1;1;4;4;1;3;8
4;65-70;Female;Springtown;Own Car;3-5km;2;4000;Twice;Yes;No;No;No;Yes;No;No;Yes;No;No;No;No;Between 50 and 75;… ordering online.;… get them delivered to the store for me to pick-up.;;Rather agree;Neutral / Undecided;Strongly disagree;Strongly agree;Rather agree;4;4;6;4;7;5;;7;1;8;2;10;10;10;3;10
3;20-25;Diverse;Godham;Bicycle;500 meters to 1km;1;800;Three times;No;Yes;No;No;Yes;No;Yes;No;No;No;Yes;Yes;Less than 25 USD;… ordering online.;… get them directly delivered to my address.;I would not pay for that;Rather disagree;Strongly agree;Strongly disagree;Strongly agree;Strongly disagree;3;1;6;6;1;7;6;8;10;1;1;10;10;10;10;1
2;30-35;Female;Springtown;Own Car;5-7km;3;94000;Twice;No;Yes;No;No;No;Yes;No;Yes;No;No;No;No;More than 125 USD;…selecting them myself in the store.;…get them myself in and from the store.;Less than 10 USD;Strongly agree;Neutral / Undecided;Neutral / Undecided;Neutral / Undecided;Rather disagree;8;7;9;9;8;8;8;10;1;1;1;7;7;1;3;8
2;40-45;Male;Springtown;Own Car;1-2km;4;100000;Once;No;No;No;No;Yes;Yes;No;No;No;No;Yes;No;More than 125 USD;…selecting them myself in the store.;…get them myself in and from the store.;;Neutral / Undecided;Rather agree;Strongly disagree;Strongly agree;Rather disagree;7;2;7;6;;;;6;10;1;1;1;1;9;;10
1;25-30;Female;Metrapalis;Walking;500 meters to 1km;3;3;Twice;No;No;Yes;No;No;Yes;No;No;No;No;Yes;No;Between 75 and 100 USD;…selecting them myself in the store.;…get them myself in and from the store.;;Rather agree;Strongly agree;Strongly disagree;Strongly disagree;;7;5;7;5;8;3;3;7;2;9;2;4;4;3;5;7
1;55-60;Male;Duckborg;Walking;Less than few hundred meters;2;3000;Once;No;No;No;No;No;Yes;No;No;Yes;No;No;No;Between 75 and 100 USD;…selecting them myself in the store.;…get them myself in and from the store.;;Rather agree;Strongly disagree;Strongly disagree;Strongly agree;Rather agree;7;1;8;8;;7;;7;3;1;1;10;1;5;10;1
4;65-70;Female;Metrapalis;Own Car;>7km;2;75432;Twice;No;No;Yes;No;No;Yes;No;No;Yes;No;No;No;Between 75 and 100 USD;… ordering online.;… get them directly delivered to my address.;Less than 10 USD;Neutral / Undecided;Rather disagree;Strongly disagree;Strongly agree;Strongly disagree;6;3;7;9;5;7;;8;1;7;1;8;7;4;3;8
2;30-35;Male;Metrapalis;Walking;500 meters to 1km;4;;Three times;No;Yes;No;Yes;Yes;No;No;No;No;No;Yes;No;Less than 25 USD;…selecting them myself in the store.;…get them myself in and from the store.;;Rather agree;Rather agree;Neutral / Undecided;Neutral / Undecided;Rather disagree;7;6;7;7;8;7;8;8;8;1;5;5;5;6;8;3
3;20-25;Male;Duckborg;Bicycle;Less than few hundred meters;2;65000;Once;No;No;No;No;Yes;No;No;Yes;No;No;No;No;100 to 125 USD;…selecting them myself in the store.;… get them delivered to the store for me to pick-up.;Less than 10 USD;Rather agree;Neutral / Undecided;Rather disagree;Strongly agree;Rather agree;8;6;9;8;4;8;7;;10;3;3;9;8;9;7;2
4;15-20;Female;Metrapalis;Walking;1-2km;3;100000;Once;No;No;No;No;No;No;Yes;No;No;No;Yes;No;Between 25 and 50 USD;… ordering online.;… get them directly delivered to my address.;Less than 10 USD;Strongly disagree;Rather disagree;Neutral / Undecided;;Strongly disagree;3;1;9;8;6;8;9;5;2;9;10;6;8;10;4;10
2;70-75;Prefer not to say;Duckborg;Bicycle;1-2km;3;120000;More than four times;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;No;Yes;Between 50 and 75;…selecting them myself in the store.;…get them myself in and from the store.;;Neutral / Undecided;Rather agree;Rather agree;Strongly disagree;Strongly agree;8;3;6;5;6;6;;4;10;2;1;3;4;1;10;
3;20-25;Female;Springtown;Bicycle;1-2km;1;900;Three times;No;Yes;No;Yes;No;Yes;No;No;Yes;Yes;No;No;Between 25 and 50 USD;…selecting them myself in the store.;…get them myself in and from the store.;;Rather agree;Rather agree;Rather disagree;Rather agree;Neutral / Undecided;6;5;7;6;7;7;5;7;2;1;2;9;9;10;10;3
1;35-40;Male;Godham;Bicycle;1-2km;3;5000;Twice;No;Yes;No;No;Yes;No;No;No;No;No;Yes;No;Between 50 and 75;…selecting them myself in the store.;…get them myself in and from the store.;I would not pay for that;Strongly agree;;Rather disagree;;Neutral / Undecided;8;5;7;9;7;8;;;10;4;3;4;3;7;8;5
3;25-30;Female;Duckborg;Bicycle;3-5km;2;60000;Three times;Yes;No;Yes;No;No;Yes;No;No;No;Yes;No;No;Less than 25 USD;…selecting them myself in the store.;…get them myself in and from the store.;;Strongly agree;Strongly agree;Strongly disagree;Strongly agree;Neutral / Undecided;9;2;9;9;3;9;;8;2;2;1;8;10;10;10;
1;40-45;Female;Duckborg;Own Car;3-5km;3;3800;Once;No;No;No;Yes;No;No;No;No;No;No;Yes;No;Less than 25 USD;…selecting them myself in the store.;… get them delivered to the store for me to pick-up.;15 to 20 USD;Rather disagree;Neutral / Undecided;Rather agree;Neutral / Undecided;Rather disagree;2;3;4;3;4;5;4;5;5;6;7;6;7;8;7;8
1;45-50;Male;Springtown;Walking;500 meters to 1km;1;30000;Three times;Yes;No;No;Yes;No;Yes;No;Yes;No;No;Yes;No;Less than 25 USD;…selecting them myself in the store.;…get them myself in and from the store.;;Neutral / Undecided;Rather disagree;Strongly agree;Rather disagree;Strongly disagree;5;;6;4;;6;;;9;1;2;3;1;4;4;1
2;35-40;Female;Godham;Own Car;3-5km;4;120000;Once;No;No;No;Yes;No;No;No;No;No;No;Yes;No;Between 50 and 75;… ordering online.;… get them delivered to the store for me to pick-up.;;Rather disagree;Rather disagree;Rather disagree;Strongly agree;Strongly disagree;10;;10;9;9;9;;10;3;7;1;10;5;1;7;7
4;30-35;Male;Springtown;Walking;500 meters to 1km;2;50000;Twice;No;Yes;No;No;Yes;No;No;No;No;Yes;Yes;No;Between 50 and 75;…selecting them myself in the store.;… get them directly delivered to my address.;Less than 10 USD;Neutral / Undecided;Rather agree;Strongly disagree;Strongly agree;Rather agree;9;8;9;8;7;7;;8;7;7;7;9;8;8;;
3;40-45;Male;Godham;Own Car;500 meters to 1km;3;90000;Twice;No;No;No;No;No;No;Yes;No;No;Yes;No;No;Between 25 and 50 USD;…selecting them myself in the store.;…get them myself in and from the store.;;Rather agree;Neutral / Undecided;Strongly disagree;Strongly agree;Neutral / Undecided;7;5;7;7;5;5;5;7;9;3;3;3;5;9;5;5
4;35-40;Female;Springtown;Bicycle;1-2km;4;100000;Twice;No;Yes;No;No;Yes;No;No;No;No;No;Yes;Yes;Between 75 and 100 USD;… ordering online.;… get them delivered to the store for me to pick-up.;;Rather agree;Strongly agree;Strongly disagree;Strongly agree;Strongly disagree;8;6;9;9;;10;;8;10;1;1;6;1;10;10;3
2;30-35;Male;Springtown;Rented car (“car sharing”);3-5km;4;78000;Twice;No;No;Yes;No;No;Yes;No;No;Yes;No;No;Yes;Between 75 and 100 USD;… ordering online.;… get them directly delivered to my address.;10-15 USD;Rather agree;Rather agree;Strongly agree;Rather disagree;Strongly disagree;7;6;8;6;4;8;;9;9;1;1;5;5;9;;
1;50-55;Male;Godham;Walking;500 meters to 1km;2;50000;Three times;No;Yes;No;No;Yes;No;Yes;No;No;No;Yes;No;Between 25 and 50 USD;…selecting them myself in the store.;…get them myself in and from the store.;Less than 10 USD;Strongly agree;Strongly agree;Rather agree;Rather disagree;Rather agree;8;7;8;8;7;8;8;8;8;4;4;1;3;7;4;4
3;20-25;Female;Godham;Bicycle;500 meters to 1km;2;2500;Twice;No;No;Yes;No;No;Yes;No;No;No;No;Yes;No;Between 25 and 50 USD;…selecting them myself in the store.;…get them myself in and from the store.;;Rather agree;Rather agree;Strongly disagree;Strongly agree;Strongly disagree;8;4;8;7;;;;10;5;1;1;5;8;10;10;5
1;;;;;;;;;No;No;No;No;No;No;No;No;No;No;No;No;;;;;;;;;;;;;;;;;;;;;;;;;
1;35-40;Male;Godham;Walking;Less than few hundred meters;1;10000;More than four times;Yes;No;Yes;No;Yes;Yes;No;No;No;No;Yes;No;Less than 25 USD;… ordering online.;… get them delivered to the store for me to pick-up.;;Rather agree;Rather disagree;Neutral / Undecided;Neutral / Undecided;Strongly disagree;8;;8;;5;7;;8;7;1;1;1;4;10;10;1
3;50-55;Male;Duckborg;Own Car;>7km;5 or more;55000;Once;No;Yes;No;No;No;No;No;Yes;No;No;Yes;No;Less than 25 USD;… ordering online.;… get them directly delivered to my address.;10-15 USD;Rather disagree;;Strongly agree;Strongly agree;Strongly disagree;6;6;8;4;1;5;6;7;10;10;1;10;10;10;10;6
4;65-70;Male;Duckborg;Own Car;5-7km;2;60000;Twice;Yes;No;No;Yes;No;No;No;Yes;No;No;No;No;100 to 125 USD;…selecting them myself in the store.;…get them myself in and from the store.;Less than 10 USD;Neutral / Undecided;Rather agree;Strongly disagree;Strongly agree;Strongly disagree;8;2;8;8;5;5;;5;10;2;1;10;1;10;5;5
1;45-50;Male;Piltunder;Bicycle;1-2km;5 or more;4700;Three times;Yes;No;No;Yes;No;No;No;No;No;No;Yes;Yes;Between 75 and 100 USD;… ordering online.;… get them directly delivered to my address.;Less than 10 USD;Strongly agree;Rather disagree;Strongly agree;Strongly disagree;Rather disagree;8;;9;9;9;7;;10;5;2;;7;8;9;10;6
2;35-40;Female;Duckborg;Own Car;3-5km;4;7000;Twice;No;No;No;No;Yes;Yes;No;No;No;No;Yes;No;100 to 125 USD;…selecting them myself in the store.;…get them myself in and from the store.;More than 20 USD;Neutral / Undecided;Strongly disagree;Strongly disagree;Strongly agree;Neutral / Undecided;7;9;8;7;6;5;6;8;9;3;4;9;8;10;10;7
4;60-65;Male;Duckborg;Walking;500 meters to 1km;2;60000;Twice;Yes;No;No;No;Yes;No;No;Yes;No;No;No;No;Between 50 and 75;…selecting them myself in the store.;…get them myself in and from the store.;;Rather agree;Neutral / Undecided;Rather disagree;Strongly agree;Neutral / Undecided;8;5;8;7;;7;;8;3;7;3;8;7;8;6;6
4;65-70;Female;Springtown;Bicycle;500 meters to 1km;2;350000;Four times;Yes;Yes;No;Yes;Yes;No;Yes;Yes;No;No;No;Yes;100 to 125 USD;…selecting them myself in the store.;…get them myself in and from the store.;;Rather agree;Strongly agree;Strongly disagree;Strongly agree;Strongly agree;7;3;8;8;4;5;5;7;8;7;1;2;4;8;8;8
3;20-25;Male;Springtown;Public transportation;3-5km;2;500;Twice;No;Yes;No;No;No;Yes;No;Yes;No;No;Yes;No;Between 50 and 75;…selecting them myself in the store.;…get them myself in and from the store.;I would not pay for that;Neutral / Undecided;Rather agree;Neutral / Undecided;Rather agree;Neutral / Undecided;7;5;6;6;7;7;8;4;5;1;1;8;10;10;10;10
4;20-25;Male;Springtown;Walking;Less than few hundred meters;1;1000;Twice;No;Yes;No;No;No;Yes;No;No;No;No;Yes;Yes;Between 25 and 50 USD;… ordering online.;… get them directly delivered to my address.;I would not pay for that;Strongly disagree;Rather agree;Strongly disagree;Strongly agree;Strongly disagree;1;1;7;6;5;5;10;5;10;10;1;10;10;10;10;1
3;25-30;Female;Duckborg;Bicycle;1-2km;2;21000;Four times;Yes;No;Yes;No;Yes;Yes;No;No;No;No;No;Yes;Between 50 and 75;…selecting them myself in the store.;…get them myself in and from the store.;I would not pay for that;Neutral / Undecided;Rather disagree;Rather disagree;Strongly agree;Neutral / Undecided;8;1;8;8;8;8;6;8;8;1;1;1;1;10;10;5
2;35-40;Male;Springtown;Walking;500 meters to 1km;3;70785;Three times;Yes;No;No;Yes;No;Yes;No;No;No;No;Yes;No;Between 50 and 75;… ordering online.;… get them directly delivered to my address.;Less than 10 USD;Rather agree;Neutral / Undecided;Neutral / Undecided;Rather agree;Neutral / Undecided;8;6;8;7;7;;;7;8;5;3;7;6;8;8;7
1;50-55;Male;Duckborg;Walking;500 meters to 1km;2;87000;Twice;No;No;Yes;No;No;Yes;No;No;No;No;Yes;No;Between 25 and 50 USD;…selecting them myself in the store.;…get them myself in and from the store.;;Rather agree;Rather disagree;Rather disagree;Strongly agree;Rather disagree;9;4;8;8;8;8;8;8;10;3;4;6;7;8;8;3
1;30-35;Male;Godham;Walking;500 meters to 1km;2;75000;Once;No;No;No;No;No;Yes;No;No;No;Yes;No;No;100 to 125 USD;…selecting them myself in the store.;…get them myself in and from the store.;Less than 10 USD;Strongly agree;Strongly disagree;Neutral / Undecided;Neutral / Undecided;Neutral / Undecided;9;7;6;9;9;9;9;9;10;1;1;10;7;10;7;7
3;20-25;Diverse;Duckborg;Bicycle;500 meters to 1km;2;2000;Three times;Yes;No;Yes;No;Yes;No;No;No;No;No;Yes;Yes;Between 25 and 50 USD;…selecting them myself in the store.;…get them myself in and from the store.;;Rather agree;Strongly agree;Rather disagree;Strongly agree;Neutral / Undecided;9;6;7;7;7;7;;6;8;2;5;8;8;10;10;2
1;40-45;Male;Duckborg;Own Car;1-2km;4;3500;Four times;Yes;No;Yes;No;Yes;Yes;No;No;No;Yes;Yes;No;Between 25 and 50 USD;…selecting them myself in the store.;…get them myself in and from the store.;;Strongly agree;Strongly disagree;Rather disagree;Strongly agree;Neutral / Undecided;8;4;6;6;5;5;;7;1;1;1;1;1;7;7;2
4;60-65;Male;Springtown;Bicycle;3-5km;2;105000;Twice;Yes;No;No;Yes;No;No;No;No;No;No;Yes;No;100 to 125 USD;…selecting them myself in the store.;…get them myself in and from the store.;;Strongly agree;Neutral / Undecided;Rather disagree;Rather agree;Rather agree;9;7;9;8;6;8;;8;2;2;7;9;8;9;9;2
2;25-30;Male;Springtown;Walking;500 meters to 1km;2;120000;Four times;Yes;No;Yes;Yes;No;Yes;No;No;Yes;No;Yes;Yes;Less than 25 USD;…selecting them myself in the store.;…get them myself in and from the store.;;Rather agree;Rather agree;Strongly disagree;Strongly agree;Rather disagree;7;5;10;10;10;10;10;5;1;1;1;5;1;10;1;1
2;30-35;Male;Metrapalis;Rented car (“car sharing”);3-5km;4;85000;Twice;Yes;No;No;Yes;No;No;No;No;Yes;No;No;Yes;More than 125 USD;…selecting them myself in the store.;…get them myself in and from the store.;Less than 10 USD;Strongly agree;Rather agree;Strongly disagree;Strongly agree;Strongly disagree;6;3;7;7;5;7;5;8;9;2;1;9;6;8;8;
1;25-30;Female;Metrapalis;Walking;500 meters to 1km;1;40000;Three times;Yes;No;Yes;No;Yes;No;No;No;Yes;Yes;No;No;Less than 25 USD;…selecting them myself in the store.;…get them myself in and from the store.;;Strongly agree;Rather agree;Neutral / Undecided;Neutral / Undecided;Neutral / Undecided;8;5;7;8;;7;5;8;5;5;7;8;7;6;7;
